gene	chromosome	start	end	log2	depth	weight	probes
ENSG00000233885	chr3	183806863	183818113	-0.254826	189.254	2.08684	3
ENSG00000186090	chr3	184032830	184052578	-0.246388	165.651	6.37295	8
ENSG00000238020	chr3	184097529	184105429	-0.21721	209.52	3.29712	4
ENSG00000186038	chr3	184097529	184135582	-0.226371	185.578	5.58825	8
ENSG00000145191	chr3	184135383	184155798	-0.34573	186.818	10.4134	14
ENSG00000145198	chr3	184233177	184242676	-0.425401	94.3271	10.2905	13
ENSG00000214160	chr3	184242512	184249892	-0.256607	175.423	7.16928	9
ENSG00000163888	chr3	184260154	184275651	-0.382136	50.7048	2.72767	3
ENSG00000090534	chr3	184372510	184382776	-0.271823	144.235	10.1886	11
ENSG00000163900	chr3	185477323	185508879	-0.257969	216.164	6.06834	8
ENSG00000136527	chr3	185918362	186048862	-0.287526	201.277	6.73254	8
ENSG00000213139	chr3	186538693	186551281	-0.22307	196.91	2.5649	3
ENSG00000113838	chr3	186551147	186570967	-0.228236	238.236	6.99203	9
ENSG00000090520	chr3	186570106	186596475	-0.215506	196.05	8.8	11
ENSG00000283149	chr3	186581992	186612442	-0.269727	137.596	6.53515	7
ENSG00000113889	chr3	186717540	186784479	-0.284696	206.555	11.4184	14
LRG_598	chr3	186717540	186784479	-0.284696	206.555	11.4184	14
ENSG00000136514	chr3	187368439	187520218	-0.226376	136.096	3.53813	4
ENSG00000198471	chr3	187698495	187715121	-0.325575	110.159	4.00037	5
ENSG00000188729	chr3	191212530	191268443	-0.290599	109.082	5.44142	7
ENSG00000188958	chr3	191268413	191356585	-0.486491	62.7958	6.00072	7
ENSG00000152492	chr3	191329672	191460660	-0.343479	169.143	10.3331	13
ENSG00000180611	chr3	192798383	193086744	-0.290482	147.119	6.86798	8
ENSG00000198836	chr3	193593375	193691560	-0.254535	194.308	23.7455	30
LRG_337	chr3	193593375	193691560	-0.254535	194.308	23.7455	30
ENSG00000114315	chr3	194136378	194340562	-0.2116	106.62	2.31173	5
ENSG00000178772	chr3	194341062	194358795	-0.278335	131.508	6.63425	7
ENSG00000172061	chr3	194359295	194396097	-0.267617	156.412	6.07475	8
ENSG00000163958	chr3	196198292	196214373	-0.506082	137.941	5.69862	7
ENSG00000272741	chr3	196248204	196323941	-0.282419	187.57	6.7292	9
ENSG00000235897	chr3	196323713	196327034	-0.350097	180.538	2.80515	3
ENSG00000163960	chr3	196356682	196471316	-0.239164	165.275	11.7842	13
ENSG00000174007	chr3	196707548	196716923	-0.291863	226.942	2.59278	3
ENSG00000119231	chr3	196885179	196937650	-0.224525	188.196	15.436	17
ENSG00000225578	chr3	196941934	196947409	-0.37358	138.244	2.47775	3
ENSG00000119227	chr3	196947154	197006738	-0.267472	143.106	7.67093	8
ENSG00000145016	chr3	197674495	197736152	-0.201977	168.415	17.0718	20
ENSG00000122068	chr3	197749969	197791542	-0.336878	194.765	7.62369	9
ENSG00000272602	chr4	85742	124170	0.326467	336.706	5.70807	7
ENSG00000250312	chr4	160911	270894	-0.226529	174.263	4.73899	6
ENSG00000131127	chr4	343779	426804	0.206149	310.078	7.59838	9
ENSG00000281016	chr4	426492	472701	0.464837	445.971	9.36562	12
ENSG00000251595	chr4	426492	498833	0.445794	404.629	10.3245	13
ENSG00000182903	chr4	426492	498833	0.445794	404.629	10.3245	13
ENSG00000169020	chr4	672497	678031	-0.711525	115.03	3.45293	4
ENSG00000215375	chr4	674209	682892	-0.42866	133.914	5.78981	7
ENSG00000145217	chr4	987806	1000699	-0.277915	97.7003	4.35381	6
ENSG00000280927	chr4	1212910	1228345	-0.337456	120.441	4.7347	5
ENSG00000159692	chr4	1212910	1250853	-0.264203	155.826	7.16043	8
ENSG00000185049	chr4	1983316	2040767	-0.211303	110.277	8.47237	11
ENSG00000123933	chr4	2250077	2270858	-0.612951	89.3715	4.51988	7
ENSG00000188981	chr4	3249220	3315668	0.233845	61.6205	1.40404	3
ENSG00000109758	chr4	3443047	3462873	-0.288851	45.8703	5.75253	9
ENSG00000163982	chr4	4188800	4225959	-0.225162	168.133	7.98303	9
ENSG00000082929	chr4	5525328	5542633	-0.22632	140.156	1.99404	3
ENSG00000272620	chr4	7772817	7781627	0.258063	237.553	2.54767	3
ENSG00000178163	chr4	10443101	10489966	0.241706	340.79	11.5827	13
ENSG00000118564	chr4	15605720	15654701	-0.209149	150.752	10.4834	14
ENSG00000237765	chr4	15704918	15707648	0.270481	364.066	2.03901	3
ENSG00000137441	chr4	15962455	15971082	-0.339404	163.263	3.00876	4
ENSG00000249581	chr4	17515266	17576963	0.473697	296.286	2.25805	4
ENSG00000118579	chr4	17614652	17635113	-0.209252	185.686	4.62653	6
ENSG00000157765	chr4	25662498	25747924	0.214288	259.35	11.1232	14
ENSG00000154274	chr4	37588865	37630885	-0.204814	173.427	3.56935	5
ENSG00000121895	chr4	38971067	39044450	-0.203451	130.893	7.41739	9
ENSG00000168421	chr4	40243384	40334965	-0.239754	94.8123	2.62436	3
ENSG00000163694	chr4	40425901	40501540	0.265426	235.424	5.18054	7
ENSG00000250906	chr4	40816089	40827221	0.241449	333.045	4.17854	5
ENSG00000178343	chr4	42398054	42412413	-0.421395	101.74	2.68115	4
ENSG00000109171	chr4	48369848	48483059	0.212199	259.887	5.39067	8
ENSG00000109189	chr4	52597639	52655795	0.223994	244.77	6.93744	9
ENSG00000128039	chr4	55359343	55395687	0.225966	255.573	4.27664	5
ENSG00000196503	chr4	56511184	56548289	0.212691	306.091	3.04446	4
ENSG00000084093	chr4	56910636	56968517	-0.228509	212.693	15.3167	18
ENSG00000185873	chr4	68227908	68314325	-0.254704	188.928	6.91463	9
ENSG00000083896	chr4	68314096	68349223	-0.235526	190.741	12.167	15
ENSG00000087128	chr4	68471457	68496140	0.385596	296.32	2.08945	4
ENSG00000109181	chr4	68816018	68930054	0.443012	450.583	1.57548	4
ENSG00000251685	chr4	69019663	69096759	0.533492	516.725	2.72571	5
ENSG00000171234	chr4	69096518	69200647	0.49165	497.781	2.85925	7
ENSG00000250696	chr4	69200437	69281117	0.523566	465.983	1.43637	3
ENSG00000213759	chr4	69200437	69281117	0.523566	465.983	1.43637	3
ENSG00000156096	chr4	69480631	69525186	0.236878	314.043	4.22758	7
ENSG00000126545	chr4	69932555	69956357	-0.608135	133.93	9.5205	11
ENSG00000135222	chr4	69956347	69997935	-0.539486	118.985	6.00018	8
ENSG00000126549	chr4	69998435	70030238	0.249442	169.758	3.17093	4
ENSG00000126550	chr4	70053074	70068563	-0.365278	114.878	4.60265	5
ENSG00000171209	chr4	70244817	70334537	-0.281925	142.193	4.37264	5
ENSG00000109208	chr4	70362113	70384008	-0.201175	185.722	1.88829	3
ENSG00000187689	chr4	70518775	70591856	-0.286917	142.88	6.40461	8
ENSG00000132465	chr4	70656326	70688175	-0.293595	160.223	4.50346	5
ENSG00000169429	chr4	73741539	73836248	-0.412221	116.398	3.39947	4
ENSG00000163737	chr4	73981201	73987376	-0.39832	185.615	3.05684	4
ENSG00000124882	chr4	74365306	74444843	0.268542	217.52	5.22439	7
ENSG00000118804	chr4	76306767	76313248	-0.26425	155.312	4.26472	5
ENSG00000138758	chr4	76996422	77048440	-0.202874	249.978	7.90124	9
ENSG00000118816	chr4	77048216	77112518	-0.233984	205.415	7.14106	8
ENSG00000271676	chr4	77112494	77158030	-0.402183	145.371	5.93419	7
ENSG00000138759	chr4	78058009	78553971	0.226808	318.44	47.6932	70
ENSG00000156269	chr4	79325187	79406036	0.226426	298.465	3.07377	4
ENSG00000170509	chr4	87305215	87336773	-0.221948	162.85	6.74336	8
ENSG00000183199	chr4	87892262	87976393	0.386566	382.382	3.86581	5
ENSG00000177432	chr4	88697203	88704283	0.272624	339.697	2.24027	3
ENSG00000172238	chr4	93828924	93956292	-0.265854	103.252	4.51331	5
ENSG00000138698	chr4	98261563	98472019	-0.200295	128.946	17.3589	21
ENSG00000151247	chr4	98881025	98928393	-0.234066	158.45	5.69801	7
ENSG00000197894	chr4	99072568	99099403	0.288473	297.492	4.91542	7
ENSG00000109332	chr4	102797412	102825237	-0.224197	183.318	6.33766	9
ENSG00000145354	chr4	102869082	102989943	-0.422412	91.0326	3.15714	4
ENSG00000168772	chr4	104472319	104631835	-0.222259	138.822	4.44719	6
ENSG00000251175	chr4	105822951	105834596	0.233359	346.533	2.44643	4
ENSG00000168743	chr4	105897898	106003213	-0.221001	145.343	14.082	16
ENSG00000164022	chr4	106316547	106357682	-0.209036	172.14	7.04696	9
ENSG00000123739	chr4	109714374	109729099	0.210212	238.071	2.84743	4
ENSG00000249532	chr4	112646788	112650584	-0.235674	209.926	8.69174	10
ENSG00000164136	chr4	141720466	141880814	0.241345	201.994	5.52065	7
ENSG00000250361	chr4	143996298	144110891	-0.277884	109.511	3.67492	4
ENSG00000248356	chr4	145642360	145651149	0.4009	362.24	2.45322	3
ENSG00000151615	chr4	146639864	146706657	0.281313	188.868	3.26135	4
ENSG00000121211	chr4	153344735	153465897	-0.35295	113.606	7.74887	10
ENSG00000205208	chr4	158669612	158680609	-0.266966	170.259	2.83752	3
ENSG00000248546	chr4	164197004	164349874	0.30575	297.825	3.2395	4
ENSG00000164105	chr4	173373387	173387838	0.368765	212.475	3.12942	4
ENSG00000164107	chr4	173527141	173615435	-0.406351	51.0506	2.11594	3
ENSG00000234801	chr4	173615935	173772084	0.458139	337.097	2.94046	4
ENSG00000164118	chr4	174299119	174330981	-0.285508	163.238	8.96203	11
ENSG00000250431	chr4	174977441	175142468	0.228423	178.206	2.34713	3
ENSG00000129128	chr4	176320075	176506126	0.232519	230.861	3.59832	5
ENSG00000164305	chr4	184629269	184656638	-0.209507	171.769	7.70872	9
ENSG00000233110	chr4	185589676	185606732	0.204019	211.678	2.71725	3
ENSG00000251165	chr4	186286412	186426452	0.273926	237.06	3.23569	4
ENSG00000083857	chr4	186588591	186853880	0.393537	440.736	31.8178	51
ENSG00000205100	chr4	189473255	189504803	0.266857	317.894	3.98496	5
ENSG00000205097	chr4	190025709	190122621	0.358212	256.145	2.35302	3
ENSG00000185028	chr5	191538	205627	0.25892	251.408	2.07887	4
ENSG00000286001	chr5	251335	343390	0.207532	203.388	4.9196	7
ENSG00000249915	chr5	272708	343390	0.242189	253.967	3.1974	5
ENSG00000180104	chr5	447532	476094	0.237341	260.517	6.13281	10
ENSG00000066230	chr5	471792	523609	0.265238	221.87	6.74594	13
ENSG00000225138	chr5	476017	482159	0.293901	246.67	2.90107	6
ENSG00000112877	chr5	620066	729933	0.272683	227.512	6.85404	10
ENSG00000206077	chr5	730433	795261	0.331035	206.481	4.7275	7
ENSG00000286094	chr5	730433	795261	0.331035	206.481	4.7275	7
ENSG00000028310	chr5	850378	893092	0.230525	272.284	8.85391	13
ENSG00000071539	chr5	892996	978969	0.244431	294.498	6.38657	10
ENSG00000287600	chr5	907127	917105	0.394032	372.872	1.52385	3
ENSG00000113504	chr5	1052206	1111365	0.227602	221.303	12.0615	20
ENSG00000174358	chr5	1201648	1232361	0.229968	230.349	6.93063	8
ENSG00000164363	chr5	1232216	1253833	0.472217	304.524	4.7824	9
ENSG00000287486	chr5	1253725	1260602	0.271764	229.536	2.47062	3
ENSG00000153395	chr5	1466746	1523207	0.255662	237.232	4.88007	10
ENSG00000145494	chr5	1802318	1877466	0.296984	142.938	2.78513	4
ENSG00000170549	chr5	3599222	3769555	0.249624	113.305	2.36798	3
ENSG00000259603	chr5	3599222	3769555	0.249624	113.305	2.36798	3
ENSG00000145536	chr5	5146127	5422415	0.243321	239.083	17.4098	25
ENSG00000215218	chr5	6448893	6599423	0.27212	111.975	2.94331	4
ENSG00000145545	chr5	6651839	6737041	0.235839	248.411	3.4779	4
ENSG00000078295	chr5	7414570	7835500	0.22621	237.841	24.5549	30
ENSG00000124275	chr5	7859432	8040526	0.299971	353.921	15.9538	23
ENSG00000124279	chr5	7859432	7870925	0.255383	348.298	7.22672	9
ENSG00000150753	chr5	10250242	10279950	0.220668	282.544	8.76407	11
LRG_361	chr5	10250242	10279950	0.220668	282.544	8.76407	11
ENSG00000164237	chr5	10280450	10353396	0.356884	309.287	4.47772	6
ENSG00000145491	chr5	10448257	10504977	0.301722	277.127	3.50953	6
ENSG00000112977	chr5	10680706	10760511	0.299125	173.695	3.90576	5
ENSG00000169862	chr5	10973450	11903314	0.230226	139.313	25.4281	32
ENSG00000145569	chr5	14600962	14673720	0.237464	351.735	6.28629	8
ENSG00000154124	chr5	14673639	14710694	0.251367	278.736	4.54365	6
ENSG00000183580	chr5	15928194	16066970	0.290211	192.729	4.27316	5
ENSG00000183654	chr5	16090888	16315614	0.424569	193.669	2.86986	4
ENSG00000173545	chr5	16451654	16474987	0.278074	380.455	3.51459	6
ENSG00000246214	chr5	16666691	16683935	0.271663	350.976	5.17311	9
ENSG00000176788	chr5	17275214	17569244	0.231805	85.7852	1.69103	3
ENSG00000253766	chr5	21751734	21782855	0.2373	320.969	4.80739	6
ENSG00000154162	chr5	21751734	22365048	0.268601	237.179	13.9441	17
ENSG00000164256	chr5	23509031	23677348	0.208909	315.108	7.98106	10
ENSG00000113361	chr5	31267471	31400821	0.221724	318.5	10.6261	14
ENSG00000113384	chr5	32126209	32209163	0.236074	281.234	3.05101	5
ENSG00000113387	chr5	32588510	32688586	0.215132	221.815	3.78986	5
ENSG00000151388	chr5	33527185	33936238	0.222868	254.932	22.9991	31
ENSG00000182631	chr5	33937020	33944874	0.274712	231.03	3.21262	4
ENSG00000205838	chr5	34866891	34908950	-0.246004	156.376	2.81356	4
ENSG00000113456	chr5	34908762	34922289	0.236239	333.002	4.78826	7
ENSG00000113494	chr5	35049152	35221965	0.226391	292.503	11.912	14
ENSG00000152611	chr5	35904542	35953699	0.340127	219.88	3.63328	6
ENSG00000168671	chr5	36035695	36103543	0.301273	299.985	5.66616	7
ENSG00000152620	chr5	36195141	36240998	0.337369	332.446	6.04025	9
ENSG00000079215	chr5	36608421	36819982	0.251541	220.638	7.02322	11
ENSG00000248587	chr5	37815648	37834143	0.352433	291.41	2.37127	3
ENSG00000168621	chr5	37815648	37834143	0.352433	291.41	2.37127	3
ENSG00000113594	chr5	38481592	38557002	0.214849	293.239	13.6322	17
ENSG00000145623	chr5	38876198	38946554	0.29483	348.829	16.3555	25
ENSG00000113600	chr5	39285196	39537674	0.204533	274.719	22.7488	30
LRG_32	chr5	39285196	39374516	0.260527	252.758	11.9893	15
ENSG00000113638	chr5	40680991	40762275	0.202804	204.52	8.20499	11
ENSG00000171522	chr5	40680991	40715642	0.255787	249.453	2.5444	4
LRG_30	chr5	40931063	40997551	0.310679	352.825	6.12985	11
ENSG00000112936	chr5	40931063	40997551	0.310679	352.825	6.12985	11
ENSG00000171495	chr5	40998611	41142322	0.267201	325.307	15.5221	25
ENSG00000083720	chr5	41731726	41903865	0.21224	196.875	11.8235	17
ENSG00000151876	chr5	41927010	42263319	0.263698	287.362	5.58021	7
ENSG00000198865	chr5	42769596	42804775	-0.210342	198.282	5.20968	6
ENSG00000177453	chr5	43245773	43290628	0.278026	263.214	6.03309	7
ENSG00000112972	chr5	43291128	43381357	0.265316	336.099	8.72349	11
ENSG00000151881	chr5	43446219	43479389	0.349853	298.941	2.25697	3
ENSG00000248898	chr5	52861444	52881370	0.333875	313.1	3.90773	5
ENSG00000164258	chr5	53560660	53886713	0.275649	162.205	8.78865	11
ENSG00000185305	chr5	53886560	54455287	0.234647	104.51	9.50321	12
ENSG00000169271	chr5	54455787	54517450	0.206384	253.965	2.11049	3
ENSG00000178996	chr5	54518760	54681228	0.21275	198.542	5.61991	7
ENSG00000164283	chr5	54979329	55023820	0.295899	256.887	2.62527	4
ENSG00000164509	chr5	55851568	55940579	0.238215	303.47	12.9174	17
ENSG00000262211	chr5	55941079	55942753	0.32592	421.313	2.42723	3
ENSG00000249236	chr5	56100180	56111561	0.411248	447.029	2.61752	4
ENSG00000164512	chr5	56100180	56513925	0.29954	320.997	8.72274	14
ENSG00000225940	chr5	56513761	56555640	0.207987	122.898	3.54772	4
ENSG00000250961	chr5	57481574	57806832	0.250781	280.533	4.39851	5
ENSG00000169067	chr5	57481574	57806832	0.250781	280.533	4.39851	5
ENSG00000152932	chr5	58617640	58974162	0.286477	203.552	5.29766	7
ENSG00000113448	chr5	58974871	59767745	0.205997	120.995	16.811	24
ENSG00000130449	chr5	61521262	61642863	0.209837	315.355	6.94539	9
ENSG00000086189	chr5	62352587	62418512	0.227217	296.543	13.2714	22
ENSG00000164197	chr5	64200805	64506122	0.248326	208.679	8.3277	11
ENSG00000186479	chr5	64507708	64690123	0.252638	165.791	6.05015	8
ENSG00000113595	chr5	65591445	65635369	0.233989	341.266	10.0792	13
ENSG00000113597	chr5	65635300	65670359	0.204599	311.742	6.20857	9
ENSG00000145675	chr5	68226673	68457233	0.315222	270.174	12.1697	15
ENSG00000248664	chr5	69113137	69166760	0.221569	286.021	8.72053	11
ENSG00000183323	chr5	69282726	69352255	0.298774	339.13	5.93195	8
ENSG00000085231	chr5	69352058	69374089	0.247908	368.703	5.93746	9
ENSG00000273841	chr5	69364940	69374089	0.246586	413.393	3.47484	6
ENSG00000131844	chr5	71592923	71718791	0.274575	292.814	12.3495	16
ENSG00000178175	chr5	72443753	72639116	0.321159	245.145	2.99989	5
ENSG00000157111	chr5	73123371	73172741	0.370518	350.169	2.26914	4
ENSG00000164325	chr5	73173241	73310565	0.403769	315.657	2.37753	4
ENSG00000214944	chr5	73752908	73940343	0.308411	267.244	16.695	26
ENSG00000171540	chr5	77637025	77690915	-0.406304	33.6366	2.93673	3
ENSG00000164329	chr5	79619646	79728413	-0.203803	154.936	13.5505	18
ENSG00000164309	chr5	79728913	79875812	0.206621	386.969	35.154	50
ENSG00000184188	chr5	80299677	80320472	0.313805	410.266	2.37831	3
ENSG00000145687	chr5	81420501	81649764	-0.31429	108.276	17.5261	20
ENSG00000186468	chr5	82276121	82304899	-0.27608	235.537	3.7953	5
ENSG00000205464	chr5	82305399	82492419	0.319502	265.49	3.87123	5
ENSG00000205449	chr5	86284828	86455689	0.311856	245.419	3.97729	6
ENSG00000164199	chr5	90614828	91370897	0.247386	321.433	74.6651	101
ENSG00000175745	chr5	93585254	93600861	0.208772	266.726	3.62482	5
ENSG00000248483	chr5	93740576	93775656	-0.470551	80.9624	4.13181	5
ENSG00000174136	chr5	98779860	98855877	0.308819	240.474	4.36235	6
ENSG00000279232	chr5	98793084	98855877	0.326702	250.414	2.63283	4
ENSG00000174132	chr5	100535528	100585678	-0.654204	42.6379	2.94423	5
ENSG00000113532	chr5	100856100	101051556	-0.51757	95.3461	1.6193	5
ENSG00000173930	chr5	102236855	102290840	-0.409729	130.747	5.42072	9
ENSG00000205359	chr5	102373349	102682519	-0.434099	97.05	13.287	18
ENSG00000145730	chr5	102866193	103087395	-0.312832	126.905	18.4809	27
ENSG00000145723	chr5	103087895	103119912	-0.262767	148.249	4.42479	7
ENSG00000145725	chr5	103129587	103275417	-0.362029	144.98	15.6025	26
ENSG00000112874	chr5	103550858	103711423	-0.530963	103.728	3.01459	7
ENSG00000092421	chr5	116446612	116654181	0.295983	337.373	14.6366	23
ENSG00000248445	chr5	116447511	116654181	0.316423	346.384	13.3349	20
ENSG00000247311	chr5	122151988	122179049	-0.20117	216.368	4.64587	5
ENSG00000164185	chr5	122151988	122179049	-0.20117	216.368	4.64587	5
ENSG00000250803	chr5	122151988	122179049	-0.20117	216.368	4.64587	5
ENSG00000168938	chr5	123023872	123089514	-0.224259	144.992	5.09302	6
ENSG00000155324	chr5	126423604	126544462	-0.223501	165.029	13.1239	15
ENSG00000250602	chr5	126423604	126544462	-0.223501	165.029	13.1239	15
ENSG00000169567	chr5	131159451	131180169	-0.39297	173.323	4.37068	5
ENSG00000186687	chr5	131171018	131358991	-0.403065	88.9439	4.64323	5
ENSG00000164400	chr5	132073821	132192507	0.218081	172.578	3.13132	4
ENSG00000155329	chr5	132998580	133051748	-0.349611	86.9934	5.33239	6
ENSG00000113583	chr5	133956856	133972864	-0.203083	164.588	3.50096	4
ENSG00000119048	chr5	134371593	134402928	-0.287635	139.753	2.56767	4
ENSG00000164615	chr5	134738618	134764094	-0.210353	194.38	5.20211	6
ENSG00000181904	chr5	134854898	134873925	0.24436	303.454	2.12405	3
ENSG00000146013	chr5	138252965	138285189	-0.204586	144.423	5.59696	7
ENSG00000170482	chr5	139368730	139387714	-0.31942	164.414	9.36621	12
ENSG00000170476	chr5	139387508	139396955	-0.431056	155.393	2.636	3
ENSG00000131508	chr5	139561789	139680021	-0.244564	153.528	8.63256	10
ENSG00000249637	chr5	140371094	140401425	-0.314833	106.051	3.30943	4
ENSG00000170458	chr5	140631853	140639864	-0.202209	152.927	4.51173	6
ENSG00000120314	chr5	140664910	140674330	-0.280283	163.856	7.25342	10
ENSG00000256453	chr5	140671290	140674330	-0.433663	120.822	2.57829	4
ENSG00000187372	chr5	141214405	141223771	0.206131	392.269	4.17981	6
ENSG00000248449	chr5	141427720	141431324	0.228409	244.536	2.72013	3
ENSG00000164266	chr5	147824658	147878301	-0.30981	105.076	3.7889	4
ENSG00000178172	chr5	148203094	148269570	0.376171	224.985	3.46444	4
ENSG00000214510	chr5	148270070	148311981	0.566777	266.005	2.14271	3
ENSG00000145879	chr5	148312481	148335111	0.294914	242.805	3.38074	5
ENSG00000285736	chr5	149329663	149348427	-0.236179	216.526	3.05248	5
ENSG00000164284	chr5	149348269	149362845	0.214025	338.368	2.12591	3
ENSG00000253618	chr5	149348269	149362845	0.214025	338.368	2.12591	3
ENSG00000171992	chr5	150647943	150663004	-0.229506	138.345	6.52377	8
ENSG00000132912	chr5	150711146	150778069	-0.239929	147.43	10.6983	13
ENSG00000256235	chr5	150795429	150847623	0.304841	173.693	1.92697	3
ENSG00000211445	chr5	151020652	151030749	-0.21284	191.226	5.92129	7
ENSG00000253311	chr5	159916903	159971376	0.250072	294.628	3.52851	5
ENSG00000170214	chr5	159916903	159971376	0.250072	294.628	3.52851	5
ENSG00000170231	chr5	160199104	160252875	0.206787	150.476	5.63079	9
ENSG00000145861	chr5	160349165	160370009	-0.258329	101.124	2.99999	4
ENSG00000164611	chr5	160422310	160473901	0.226544	275.276	4.02989	5
ENSG00000253403	chr5	161688946	161689781	-0.212855	189.597	2.79144	3
ENSG00000188573	chr5	168529754	168557068	-0.223463	80.6995	2.45069	4
ENSG00000120137	chr5	168557568	168666691	-0.200223	211.663	6.14007	8
ENSG00000164438	chr5	171309575	171388008	-0.553097	65.3457	2.05917	4
ENSG00000164463	chr5	173068123	173144631	-0.210325	162.974	14.6894	18
ENSG00000145919	chr5	173609236	173753084	0.300279	269.252	2.57346	3
ENSG00000120149	chr5	174724860	174751234	-0.842624	66.9211	3.44344	4
ENSG00000051596	chr5	175959966	176034065	-0.370329	157.997	3.72992	5
ENSG00000182230	chr5	176096821	176238008	-0.291695	98.0061	3.57561	6
ENSG00000285476	chr5	176096821	176238008	-0.291695	98.0061	3.57561	6
ENSG00000175766	chr5	176643081	176651668	-0.428772	108.535	5.54144	7
ENSG00000169230	chr5	177303983	177307683	-0.276355	135.023	4.05323	6
ENSG00000169220	chr5	177358022	177385239	-0.235832	132.854	11.8256	14
LRG_145	chr5	177402547	177426343	-0.400633	109.425	7.17633	9
ENSG00000131187	chr5	177402547	177426343	-0.400633	109.425	7.17633	9
ENSG00000198055	chr5	177403478	177454565	-0.234202	138.528	19.1206	23
ENSG00000196923	chr5	177483641	177504207	-0.31829	133.082	8.12768	11
ENSG00000146094	chr5	177503980	177511929	-0.323448	107.483	6.38509	7
ENSG00000184840	chr5	177593647	177604543	0.234913	248.601	2.45883	4
ENSG00000170074	chr5	177724110	177783296	-0.224898	106.198	4.31554	6
ENSG00000175325	chr5	177994103	178030092	0.37846	104.195	2.20065	3
ENSG00000050767	chr5	178242338	178589401	-0.200693	47.419	10.533	13
ENSG00000113240	chr5	178603614	178711562	-0.247562	174.177	10.3688	12
ENSG00000198939	chr5	178931311	178942826	-0.473032	152.25	4.40781	6
ENSG00000178187	chr5	178942687	178968919	-0.255498	180.174	7.66911	10
ENSG00000244945	chr5	179598689	179605926	0.340011	315.105	2.51644	3
ENSG00000228259	chr5	179651611	179678082	-0.201291	125.805	3.36881	4
ENSG00000161055	chr5	180590228	180602689	-0.593036	20.6418	2.61382	3
ENSG00000165810	chr5	181045487	181124673	-0.246434	147.627	7.20056	10
ENSG00000124588	chr6	3006467	3045595	-0.251878	188.883	5.79967	8
ENSG00000145982	chr6	5368568	5998473	-0.271576	113.179	10.6402	12
ENSG00000124783	chr6	7289861	7365575	-0.214089	172.72	8.56133	10
ENSG00000238221	chr6	7289861	7301574	-0.309179	157.444	4.32582	5
ENSG00000188428	chr6	8015646	8080032	-0.230653	138.112	7.70078	8
ENSG00000285216	chr6	8413546	8583355	-0.381893	141.339	7.56036	10
ENSG00000124786	chr6	8413546	8583355	-0.381893	141.339	7.56036	10
ENSG00000285763	chr6	10671455	10695071	-0.231308	144.481	5.31725	6
ENSG00000137434	chr6	10671455	10695071	-0.231308	144.481	5.31725	6
ENSG00000111843	chr6	10724611	10748743	-0.385202	121.529	3.97881	5
ENSG00000111863	chr6	11714475	11897193	0.21453	196.758	6.78933	9
ENSG00000124523	chr6	13588328	13615774	-0.238183	173.866	5.42656	7
ENSG00000050393	chr6	13790806	13976617	0.225636	248.612	6.12135	8
ENSG00000112183	chr6	17281581	17421053	-0.216246	134.797	3.11115	5
ENSG00000112242	chr6	20481203	20545848	-0.52625	141.745	4.95624	6
ENSG00000283480	chr6	21594532	21731379	-0.424551	35.4376	2.8821	3
ENSG00000124766	chr6	21594532	21731379	-0.424551	35.4376	2.8821	3
ENSG00000112308	chr6	24706134	24776744	-0.232301	173.738	5.38292	6
ENSG00000112343	chr6	25966520	26016582	-0.225126	173.494	7.40548	9
ENSG00000275714	chr6	26020487	26021992	0.297318	263.889	2.52243	3
ENSG00000282988	chr6	26196837	26204958	0.28952	293.253	1.91845	3
ENSG00000277775	chr6	26250192	26270471	0.625103	208.563	0.91421	3
ENSG00000124549	chr6	26422930	26443072	0.20578	297.812	6.63406	8
ENSG00000112763	chr6	26458634	26500784	0.230705	313.808	6.94524	10
ENSG00000146109	chr6	26596980	26636842	-0.251521	103.305	3.48314	4
ENSG00000181315	chr6	26637342	27131867	0.309322	260.482	2.0495	3
ENSG00000158553	chr6	27286088	27324346	-0.237136	171.155	10.8818	13
ENSG00000197153	chr6	27890379	27893673	0.355819	342.865	1.51787	3
ENSG00000196812	chr6	28125441	28147905	-0.235291	161.768	3.58533	5
ENSG00000137185	chr6	28227082	28244084	-0.300857	130.584	4.90668	7
ENSG00000204709	chr6	28943903	28995263	-0.201165	209.866	2.74218	3
ENSG00000204703	chr6	29086304	29100442	-0.248019	152.514	4.21167	5
ENSG00000204702	chr6	29100942	29112123	0.546905	584.146	1.89931	5
ENSG00000204701	chr6	29111888	29173133	0.29636	328.536	3.31878	5
ENSG00000204700	chr6	29173633	29262995	0.330708	467.94	2.98012	5
ENSG00000197171	chr6	29262700	29306187	0.265694	303.84	4.31661	5
ENSG00000204697	chr6	29262700	29268638	0.211559	363.592	3.60549	4
ENSG00000280236	chr6	29396701	29416779	0.246316	337.255	3.41838	4
ENSG00000206474	chr6	29440013	29461267	0.356202	246.599	3.64631	5
ENSG00000204688	chr6	29461767	29486263	0.2712	268.572	3.92725	5
ENSG00000237988	chr6	29555877	29582328	-0.22271	190.72	2.23204	3
ENSG00000213886	chr6	29555877	29582328	-0.22271	190.72	2.23204	3
ENSG00000204632	chr6	29828044	29887251	0.573946	232.365	2.21914	4
ENSG00000206503	chr6	29943265	29975387	0.254797	298.929	4.15818	7
ENSG00000204623	chr6	30008333	30062019	0.220237	263.897	6.86541	9
ENSG00000204619	chr6	30067408	30073250	0.252493	272.622	2.90465	4
