gene_short_name	q_value	estimate	total_transcripts
S100A11	2.35e-78	0.2193647	1459380
NSD2	0.00043617	0.2193098	15535
EXOSC9	0.02070584	0.2188475	10315
SEC61A1	3.41e-08	0.2188426	25466
SLC39A1	2.14e-09	0.2188006	52842
PCNA	0.001091305	0.2186637	14312
LAMTOR3	1.3e-15	0.218528	39366
LARP7	1.16e-08	0.2184365	25927
IKBKB	7.58e-05	0.2173274	15687
FAM174C	1.72e-05	0.2171727	17478
IFNGR1	1.7e-11	0.2167495	41852
PPP1R12A	7.36e-11	0.2164135	29789
PHF14	2.37e-05	0.2156904	17188
ETNK1	0.0016643548	0.2155226	14882
FUBP1	9.32e-14	0.2155138	50376
ZZZ3	0.007819224	0.2151368	12026
AKR1C19	0.012879845	0.2151202	23820
POLE3	0.0007898965	0.2148392	14212
CBFB	0.00012020065	0.2147881	16963
CKS1B	1.79e-11	0.2146714	86269
MRFAP1	4.5e-35	0.2143417	127114
EML4	1.46e-06	0.2142972	22864
KPNA4	6.71e-10	0.2141388	30608
SLC33A1	0.0061632	0.2136303	12515
SLBP	1.73e-10	0.2133212	40976
RABGGTB	7.8e-12	0.2130179	37752
DEK	1.24e-10	0.212421	44934
PTBP1	2.23e-11	0.2124105	35294
CUX1	6.62e-08	0.2123259	23705
PGRMC2	4.88e-05	0.212323	22946
SQLE	0.02414862	0.2122594	16742
DNAJC19	8.5e-12	0.2118372	33329
SREBF2	6.24e-05	0.2112066	18225
APH1A	3.89e-06	0.2109851	18652
NABP2	3.7e-06	0.2103057	19438
H1F0	2.98e-05	0.2100805	38027
RPS26	1.14e-78	0.2096192	1271055
TTLL7	1.03e-07	0.2095354	27215
RBM8A	1.07e-32	0.2094964	100056
EFNB2	0.002836812	0.2089808	17140
BTG1	2.84e-22	0.2087776	174449
CACNA2D1	0.00017703075	0.2085619	20935
FDX1	2.15e-05	0.2072726	26459
PCBD1	4.8e-20	0.2072437	60133
HSPG2	0.004032036	0.2065137	13817
SGTA	1.92e-06	0.206369	19845
PAPSS1	2.53e-06	0.2063455	21246
GALNT7	2.72e-05	0.2063414	26190
CNOT1	0.002858037	0.2059882	14492
ANXA5	8.02e-44	0.2052332	362315
CSNK2A2	4.95e-08	0.2042443	27594
SNRPF	1.22e-32	0.2040697	185274
ALG10B	0.03337592	0.2039199	11225
CMTM4	6.25e-06	0.2037186	21910
PTPRS	2.46e-05	0.2033325	20953
TBC1D15	0.0015679209	0.2022919	15743
ITFG1	0.001574245	0.2021037	14967
CDKN1B	0.04047936	0.2019426	13415
GPX4	9.62e-73	0.2019339	380590
METAP2	1.23e-32	0.2016126	95677
CYB5B	1.15e-07	0.2009712	29456
LSM6	1.82e-25	0.200965	101401
SEM1	3.9e-70	0.2007895	238832
LMO4	1.85e-05	0.2005249	39640
RNF126	0.0002998878	0.1995085	19850
ANXA10	5.24e-06	0.1992663	59344
CASP6	0.01055538	0.1991803	14968
KEAP1	0.016704072	0.1990453	13508
RBMXL1	2.26e-05	0.1988349	20442
OCIAD2	9.71e-17	0.1985671	140656
ASH1L	1.33e-08	0.1981236	33849
MFSD14A	0.02876944	0.1978415	13319
ATP5D	1.1e-54	0.1977841	196703
CHTOP	0.000386438	0.1977131	17376
MMP14	0.003093264	0.1975973	17593
DHPS	6.27e-06	0.1968998	23306
SEMA3C	9.64e-07	0.1968921	45492
TSC22D2	0.00043617	0.1963892	22568
NFIC	3.4e-05	0.1962642	21941
GMPS	2.18e-08	0.1950494	31276
NFIB	1.66e-07	0.1947297	31469
AP1G1	0.0094963	0.1944862	14215
PFKL	0.0017650269	0.1942911	28126
NUFIP2	4.56e-05	0.1939616	25936
NSMCE4A	0.003605784	0.1934939	16001
CD164	3.57e-14	0.1932799	50721
CCDC59	4.82e-12	0.1931495	39569
CDC34	1.29e-05	0.1927301	23192
JTB	4.56e-07	0.1925792	25703
RAB21	1.18e-09	0.1921688	34190
TSPAN8	1.23e-26	0.1914297	362104
POLR2C	4e-12	0.1913236	39516
ORC6	4.82e-05	0.190846	27027
PKP4	0.04110405	0.1905112	14750
UBE2S	2.61e-14	0.1901492	95935
CAMK2N1	0.0014738457	0.1899538	31068
MED13L	0.003946616	0.1896013	20253
WWC2	0.02001046	0.1895979	15329
PERP	0.009538086	0.1895275	16872
S100A1	8.91e-21	0.1894917	100597
MCUB	3.81e-07	0.1891523	31467
USP10	0.00505512	0.1890317	17001
CSDE1	9.28e-21	0.1888055	79935
RNF13	0.00016055545	0.1878915	20811
S100A13	3.27e-26	0.1873946	202704
CNN3	2.18e-08	0.1872065	35420
ALG5	6.28e-09	0.1868942	34199
NACA	1.72e-64	0.1856549	362090
PDLIM5	2.26e-06	0.1849065	33351
HNRNPR	0.0003648792	0.1848585	20974
ARID1A	0.004884672	0.184776	17580
SRPK2	0.015626835	0.1843352	18953
NDUFB5	2.02e-24	0.1832555	91741
CFAP20	3.6e-05	0.1829089	23388
PLPP2	2.09e-08	0.1824714	35693
KRTCAP2	2.24e-27	0.1821097	172462
VCL	0.000757575	0.1817582	22576
TIMM13	7.31e-31	0.1816683	146456
NDUFS7	2.5e-23	0.1812882	83402
OTUD4	0.007460922	0.1812851	20259
PSMA6	4.93e-16	0.1808266	62016
GCLM	1.01e-11	0.1801861	53994
PLEKHJ1	4.32e-09	0.1800137	34584
TFDP1	0.0010139311	0.1798442	21227
ANXA11	0.03546144	0.179545	16238
UPF1	0.04402376	0.1790976	15668
TES	2.66e-16	0.1787014	72741
MCU	0.0021270652	0.1786967	20511
PTTG1IP	7.1e-06	0.1780708	33865
GTF2B	0.0008888697	0.1768352	20659
NET1	8.33e-07	0.1768324	36975
CIAPIN1	0.00469317	0.175359	19798
S100A16	6.35e-11	0.1750495	109486
HAGH	0.0009772692	0.1747543	24581
KLF5	0.0015400266	0.1729224	32186
GOT2	0.010955396	0.1728436	19483
RPF1	9.13e-05	0.1727866	25125
NASP	0.008626208	0.1724545	21919
TPM4	8.95e-23	0.1722387	174378
NDUFA6	5.87e-18	0.1721812	119937
MAT2A	2.28e-05	0.1721554	46852
ANAPC5	1.06e-05	0.1709602	31567
SFXN1	0.03838926	0.1697356	19043
LIMA1	7.65e-05	0.1694586	33165
SSR3	1.67e-13	0.1693868	73900
EXOSC8	0.008137779	0.1691635	22709
SRSF10	6.84e-08	0.1690438	39594
DHX36	5.37e-06	0.1687926	33218
GRINA	2.24e-06	0.1686441	39216
GNAI3	5.36e-07	0.1684738	35258
NAA15	3.92e-05	0.168347	31612
ROCK1	5.32e-07	0.168209	36239
CD2AP	5.63e-15	0.1676111	94813
LSM4	9.23e-17	0.1673941	122497
TAF1D	8.95e-09	0.1671856	68703
LLPH	1.29e-14	0.1670969	68946
CYB5R3	4.96e-07	0.1667034	44469
TSFM	0.002943719	0.1645185	22013
CMC2	0.003839908	0.1622459	24702
MATR3	1.81e-06	0.1606707	39164
DDT	5.04e-06	0.1605736	56639
ORMDL2	0.000325905	0.1589813	27646
TMEM147	2.02e-05	0.1587622	39321
SELENOT	4.99e-05	0.1586765	31916
UBAP2L	8.97e-08	0.1581428	44811
RBP1	5.93e-05	0.1577314	138039
SIVA1	0.0015721614	0.1573649	31200
DAZAP1	0.000141674	0.1570283	30952
PGRMC1	0.04443871	0.1568646	22072
RAP1A	6.93e-08	0.1563385	43378
GTF2A2	8.3e-05	0.156317	32724
SERP1	1.79e-08	0.1561012	79287
CENPV	0.0379764	0.1560231	22140
KMT2E	0.014337328	0.1553048	26921
BORCS8	0.003712061	0.1552007	25445
ATPIF1	2.71e-24	0.1551657	318051
NSD3	0.03191536	0.1550372	22261
GTF2E2	0.014296128	0.1548648	27872
SLC38A2	1.41e-08	0.1546916	92866
UFM1	6.78e-08	0.1535571	50780
PGAP1	0.003520588	0.1531637	35045
ADH5	8.76e-05	0.1525624	36885
NR2F6	0.03337592	0.15224	21301
SCOC	0.013450224	0.152081	23897
TMBIM4	2.45e-08	0.1520573	63190
HADH	0.0002869416	0.1518349	31821
TUSC3	1.05e-07	0.1506437	47102
ERRFI1	0.007839854	0.1505861	86282
ATP5PB	7.28e-25	0.1494042	145541
UBE2E3	0.018390376	0.1486863	24941
IRF2BP2	0.0008264952	0.1484161	47339
CCDC124	1.62e-07	0.1477097	56890
RN18S-RS5	0.00688597	0.1473582	861762
RPL18A	1.31e-43	0.1466932	1361532
PDCD10	1.18e-10	0.1459646	64005
MYADM	0.012732018	0.1457592	32549
FKBP8	1.43e-06	0.1455822	43442
SLC50A1	0.012943104	0.1452343	26848
PURA	4.95e-05	0.1448034	43726
SMARCA5	1.61e-08	0.1447975	66835
SSR1	0.0002652524	0.1446399	36757
SARAF	0.0008802596	0.1443818	34241
CD24A	1.68e-12	0.1438874	128273
MACROH2A1	0.00017553068	0.1435267	36005
SELENOF	2.5e-23	0.1432764	174345
GLUD1	0.001874328	0.1429723	31848
TPM3	3.78e-18	0.1429308	148001
S100A10	9.92e-17	0.1427364	967482
EIF4H	0.00021691729	0.1421696	43114
NRAS	4.42e-06	0.1421066	47174
KIF5B	1.46e-08	0.1418764	80063
COX7A2L	4.04e-11	0.1413632	104516
HCFC1R1	0.0007338672	0.1412326	58386
IMPA1	0.019884077	0.1407893	26102
LY6E	4.84e-16	0.1403807	265373
MARCKS	2.65e-07	0.140003	108434
GSR	3.57e-14	0.1392636	192675
FNDC3B	0.0390165	0.1391534	33610
ONECUT2	0.01893716	0.138224	152816
SMIM7	0.0004728856	0.1381406	36630
REX1BD	1.76e-10	0.1375643	78821
BCLAF1	0.015012384	0.1366886	32890
RAB27B	0.018012368	0.1366646	36267
STT3A	0.004799648	0.1365625	33156
HNRNPA3	7.06e-09	0.1361483	86336
MORF4L2	7.8e-05	0.1357975	45149
NDUFC1	4.78e-12	0.1357465	102589
RBIS	0.001947216	0.1355787	34310
NIP7	0.03922368	0.1354427	30579
YBX3	4.05e-09	0.1353032	110277
ATF4	0.008838486	0.1351617	52387
EIF4E	1.32e-06	0.1345127	57951
FKBP4	0.0003735152	0.1336765	46303
MLEC	0.012202608	0.1328396	38183
RAP1B	1.69e-08	0.1320513	93258
RNASEH2C	0.0014503104	0.1320348	46979
SFPQ	0.000897479	0.1317943	46474
CBX5	0.03233043	0.1312096	32361
PSMB4	1.3e-15	0.1310989	150956
ARGLU1	0.00364837	0.1299264	53023
ENO1	9.12e-08	0.1295847	179229
TUBA1B	0.0004534464	0.1294821	86308
CST3	9.02e-06	0.1292025	152406
SRRM2	1.99e-09	0.1287113	95197
SRSF11	4.47e-07	0.1286826	71281
N4BP2L2	0.02981868	0.1286715	31426
TRIR	2.86e-09	0.1285034	85361
FKBP2	7.87e-05	0.1280836	60835
REEP5	1.3e-09	0.1263807	99321
RPL34	1.41e-31	0.1254413	975106
NUDT21	0.00016968957	0.1253127	49545
DDOST	0.0002349108	0.1251638	51541
SEC62	6.48e-09	0.1235112	96551
HNRNPA1	2.85e-08	0.1225478	121204
RPS27	4.21e-24	0.121756	615505
TMEM208	3.92e-05	0.1211853	55921
HDGF	7.35e-07	0.1210773	96387
TMEM256	0.0001290856	0.1189538	54370
LSM5	0.005203845	0.1177892	66933
MAGOH	7.06e-05	0.1174654	64367
WDR83OS	4.58e-07	0.1169786	83606
SRSF3	3.23e-07	0.1150116	111244
COX5A	5.05e-12	0.1148547	160496
SSR4	2.11e-06	0.1142947	96410
WFDC2	3.33e-05	0.1141295	410974
CDC42	5.32e-14	0.1141	152603
MIF	3.83e-08	0.1138737	609843
CCT3	0.00012626253	0.113389	76434
AKR1A1	2.67e-08	0.1131764	87636
BCAP31	0.002687	0.1129	49388
ITGA6	0.02351868	0.1126163	71841
GM11808	0.0019429982	0.1117733	51790
EIF5	1.83e-06	0.1116326	100504
PSMA5	1.81e-06	0.1106874	89401
TMED9	0.042146	0.1102087	42380
TPD52	3.42e-05	0.1096581	77035
ATP5L	3.54e-14	0.1092758	173902
HMGB1	1.5e-05	0.109109	359482
1810037I17RIK	6.53e-08	0.1081658	144266
PSMD7	4.25e-05	0.106848	91483
RPS12	3.8e-18	0.1059054	1806007
CALR	0.014950701	0.1046952	262469
HNRNPA0	0.03943269	0.1045475	49496
LAMP1	2.27e-08	0.1033077	136667
RBM3	2.52e-07	0.10195	190054
SNX3	0.0016857574	0.1019	60390
SMDT1	2.01e-08	0.1008256	166937
CD9	1.05e-06	0.0996646	364399
PPIB	1.16e-07	0.0995999	146618
ATP5A1	7.09e-07	0.0978121	126155
SLC25A5	0.04360662	0.0960168	81732
NEDD4	0.009876253	0.0954873	74759
TM4SF1	0.003690948	0.0952525	705153
SELENOK	0.016873294	0.0949726	75853
UBA52	0.0004621035	0.0931694	88343
SUB1	0.002751104	0.092401	80754
LDHA	0.0018680382	0.0920166	355229
PGLS	0.0279312	0.0907316	73114
U2AF1	0.017991974	0.0907307	75042
CYB5A	0.04881976	0.0903661	135198
GNG5	7.72e-14	0.0894722	427277
CYCS	0.033792	0.0882468	129804
NA	1.22e-06	0.0877238	159440
RPL10	1.03e-11	0.0867128	558402
RHOX5	0.00010327009	0.0865474	356852
SNRPD1	0.004650744	0.0864962	119347
ATP5G2	3.45e-09	0.0858263	258590
RPS3A1	7.01e-17	0.085721	1077554
YBX1	1.67e-09	0.0854883	359144
RPS28	1.02e-12	0.0848579	612714
RPL13A	0.03441908	0.0847392	81722
TXN1	1.31e-06	0.0841492	313228
BTF3	2.18e-10	0.0809366	256072
ENY2	0.015985264	0.0796592	99349
HNRNPA2B1	0.003797181	0.0794823	191402
VDAC3	0.0312872	0.0789866	88839
RPS6	3.94e-07	0.0778312	314231
SH3GLB1	0.01150416	0.0770914	170089
YWHAE	9e-05	0.0770761	166447
ITM2B	0.005161256	0.0697729	273749
PEBP1	0.02814014	0.0683442	177543
NA	0.0001169552	0.0628446	517719
ELOB	0.00018267547	0.061642	302593
RPL11	0.00896574	0.0473136	724679
NA	3.27e-14	0.0426349	4066436
NA	0.007035336	0.0252482	2519371
RPS16	0.04798488	-0.0399912	935051
NA	1.98e-05	-0.0412443	2206690
RPL22	0.0013729968	-0.0484022	692378
RPS20	0.00247296	-0.0492761	964486
RPS3	0.02099889	-0.0514642	438669
RPS9	9.15e-05	-0.0530227	679080
HSP90AB1	0.00011976984	-0.0541762	1068367
RPL15	0.001241885	-0.0545627	599342
RPS7	0.0015250697	-0.0583346	467965
RPL39	2.94e-05	-0.0595776	696212
RPS5	0.00011196225	-0.0603837	631033
ATP5J2	0.004948251	-0.0629764	265428
PTMA	0.007650818	-0.0661346	1041490
H3F3B	0.004586876	-0.0724659	372862
CALM2	0.000416736	-0.0729852	245404
PABPC1	0.0106615	-0.0730381	163166
ACTG1	0.03002874	-0.0753289	683150
VIM	0.0001080486	-0.0855726	627306
YWHAZ	2.87e-07	-0.087546	212605
NA	1.42e-15	-0.0878551	3063929
PRDX1	2.17e-10	-0.0890927	836521
SUMO2	2.64e-06	-0.0900185	148024
RPL36	9.93e-13	-0.0904045	585848
RPS21	2.8e-16	-0.0934917	774263
PDIA3	0.02646	-0.0941694	97879
VAMP8	0.000481518	-0.0952336	111185
FAU	1.39e-22	-0.0956986	1275662
POLR2K	0.012055234	-0.097784	55993
RPL37	8.17e-21	-0.1009117	835275
TPM1	0.006120972	-0.1010191	102291
PPIA	3.72e-21	-0.1035301	881548
SRP14	0.00151018	-0.1039108	61501
TOMM7	4.45e-07	-0.1069363	104569
TMEM167	0.00364837	-0.109034	57219
RRBP1	0.0007446224	-0.1095165	86014
DENR	0.011060928	-0.1098419	55406
TMEM14C	0.04714976	-0.1119099	41523
ALDH2	0.0073761	-0.113285	58585
MRPL21	0.002494232	-0.1170607	50944
CHIC2	0.03650646	-0.1202276	49208
GSTO1	8.78e-05	-0.1219125	92826
P4HB	7.21e-05	-0.1221897	90495
RPL35A	3.35e-28	-0.1249883	595173
TXNL4A	0.020872608	-0.1252346	35496
GNAS	1.5e-11	-0.1279661	120216
CYC1	3.36e-05	-0.1291569	60639
TOMM5	6.98e-05	-0.1313577	61236
DDX5	9.45e-13	-0.1328312	152244
CHCHD1	0.0003821312	-0.1331609	43134
MRPL33	2.69e-08	-0.1338161	87818
GRPEL1	0.0003194163	-0.1350269	41561
SRP72	0.0107666	-0.1354911	32542
EEF1G	2.44e-12	-0.1355772	131457
EIF1	3.19e-35	-0.1357506	514906
ERGIC3	0.04089908	-0.1368608	26443
ADSS	0.03399998	-0.1373662	28168
CCDC34	0.004735588	-0.1374249	62723
IER3	0.019610052	-0.138088	344316
EIF3H	6.83e-16	-0.1388736	114023
ATP5E	7.75e-18	-0.1390418	162982
MDH1	4.95e-05	-0.1396646	44848
HSP90AA1	1.53e-11	-0.1398979	215259
ATP5C1	1.7e-11	-0.1409635	86827
RPL7A	8e-26	-0.141822	290368
CLTC	0.009896656	-0.142056	31311
CCT8	7.16e-07	-0.1422514	57257
MRPS18A	7.15e-05	-0.1422946	37387
GCSH	0.006502864	-0.1427364	35147
ST13	9.59e-13	-0.142824	86915
CDK6	0.0020179232	-0.1432572	43928
PRKG2	0.007418513	-0.1447657	66872
ROMO1	2.18e-07	-0.1449701	51106
UFC1	2.05e-06	-0.1453626	46179
MRPL43	0.005651976	-0.1461009	27377
PAK2	0.0017950317	-0.1473745	29580
SKP1	3.18e-08	-0.1478748	55509
RPL30	6.86e-51	-0.1483323	961245
RPL12	6.81e-36	-0.1483952	685909
PLAUR	0.001552896	-0.1485247	56354
ESD	3.4e-11	-0.1487	101421
APP	0.002302319	-0.148713	36064
LUC7L3	0.000988034	-0.1489938	35106
TMCO1	4.06e-08	-0.1493296	55510
SNX5	0.021039328	-0.1495957	25139
SOAT1	0.021122172	-0.1496542	31803
NOP58	0.0015250697	-0.1501898	46109
CNIH4	2.04e-10	-0.1512191	70115
XIAP	0.02876944	-0.1517633	24956
RPL35	2.49e-28	-0.1519329	298436
TIMM8B	2.66e-05	-0.1524127	37650
SPR	0.017358799	-0.1528383	23104
HSPA8	3.12e-29	-0.1529649	480428
RPL8	5.15e-46	-0.1536646	793551
SMIM11	0.003050444	-0.1538019	26383
CCT5	3.46e-12	-0.1546873	75073
RBMS1	0.0004382996	-0.1564809	36926
SMNDC1	0.0159435	-0.1597286	22051
NSMCE2	0.01182261	-0.1597365	21700
ITGAV	0.041307	-0.1603865	24723
AVPI1	2.26e-05	-0.1608404	40287
MYEF2	0.012414402	-0.1610297	24844
MRPS18B	0.03566745	-0.1611335	20298
PSMD2	4.54e-05	-0.1615626	33440
PCNP	1.03e-05	-0.1620741	34538
EMC6	7.89e-08	-0.162418	43444
EPRS	0.002174025	-0.16294	28747
NA	9.73e-13	-0.1636548	86555
SOD1	8.18e-06	-0.1643083	35208
UBE2R2	0.0020798946	-0.1646473	23560
MSI2	0.011018821	-0.1648448	26098
HSD17B12	0.0002587536	-0.1651911	26484
VAPB	0.03191536	-0.165291	18765
GDA	0.021204	-0.1656194	35181
COPS9	7.89e-12	-0.1656566	55296
TXN2	3.14e-06	-0.1673039	35776
SDC1	0.002729738	-0.1676461	30006
GPX1	8.25e-17	-0.168372	193434
BZW1	1.87e-11	-0.1684682	61867
SMAP1	6.31e-06	-0.1688941	31374
ATP5J	1.13e-24	-0.1692297	124268
ACTB	1.75e-14	-0.1694342	2838841
PSMB7	1.71e-07	-0.1716799	38671
MRPS24	1.63e-13	-0.1736869	61926
PSMG4	0.010279614	-0.1737728	18611
DERL1	0.00684384	-0.1748244	19858
SUPT4A	4.59e-09	-0.17622	39266
CBX1	4.93e-05	-0.1771855	27276
FAM104A	1.04e-08	-0.1772836	40130
FKBP1A	1.59e-24	-0.1780199	155844
TOP1	8.13e-10	-0.1788166	47603
UBALD2	0.013513435	-0.1801677	18373
NDUFB4	9.15e-11	-0.1802561	46835
TRAPPC4	1.85e-06	-0.1807854	29755
CLU	0.04277007	-0.1810931	1104732
PAICS	2.55e-05	-0.1822493	28111
CD81	1.1e-11	-0.1835703	72084
MTLN	0.002387499	-0.1841304	19517
ZFP706	6.54e-31	-0.1852714	141058
CGGBP1	0.0006132327	-0.185447	20822
ETFB	8.18e-07	-0.1856405	31270
MRPL27	0.001647184	-0.1858139	17731
RAB5IF	2.47e-11	-0.186285	43541
RPL38	3.79e-52	-0.1863804	429332
SLC25A17	0.02772353	-0.1866118	15400
ATP5G1	1.17e-27	-0.1868586	168805
PLAC8	2.46e-18	-0.1868849	667304
SYNGR2	2.19e-06	-0.1870099	30492
LIN7C	0.04506412	-0.1871099	14483
MED29	0.0005461596	-0.1871299	19652
PFDN4	7.57e-10	-0.1878325	40100
NDUFA8	9.75e-10	-0.1878989	35379
NDUFA5	1.08e-08	-0.1891481	38151
AFF4	0.0004858112	-0.1896627	25104
EIF3M	3.52e-14	-0.1904849	50247
FKBP11	2.74e-05	-0.1905539	45397
NDUFA10	1.59e-06	-0.1906142	27420
RBM17	0.01847445	-0.1915628	15052
COPS8	0.0013301904	-0.191565	16975
NDUFB9	7.81e-36	-0.1919382	152910
TOR1AIP2	0.0015080925	-0.1920882	18277
PUF60	0.0001740222	-0.1925032	22532
GOLGB1	0.0222537	-0.1927666	16315
CORO1B	0.0390165	-0.194196	13069
CHRAC1	0.0002240765	-0.1951403	19060
ACTR2	1.11e-07	-0.1951761	32834
DDRGK1	0.014105988	-0.1954207	14978
KRT19	3.63e-11	-0.1963175	480055
EIF3D	1.34e-09	-0.1964299	34285
PLIN2	6.28e-05	-0.1967933	38315
MRPL32	0.0006326764	-0.1971664	17420
CACYBP	2.51e-08	-0.1980031	41185
CHMP4B	2.85e-13	-0.1982063	42570
RANBP1	1.82e-20	-0.1985047	128896
RPL5	2.22e-59	-0.1996777	427404
PRKAR1A	8.59e-14	-0.2004742	43563
PSMA7	3.83e-37	-0.2008405	184833
JPT1	8.88e-18	-0.2010334	80669
PPFIBP1	0.006142087	-0.2012362	15944
ARF1	4.64e-25	-0.2016	78143
MPRIP	5.48e-06	-0.2016685	23219
SLC6A6	2.5e-06	-0.2023326	29244
HTRA2	0.02141503	-0.2034792	13238
CCDC12	7.84e-12	-0.2041794	35875
MED30	5.54e-06	-0.2043401	21990
PSMD11	5.63e-09	-0.2046768	32328
LAD1	0.03964168	-0.2050074	12887
IMP3	3.14e-06	-0.2062009	22200
MED21	8.4e-15	-0.2062891	50868
NA	0.0005181281	-0.2063309	20866
NOP10	5.13e-21	-0.2063901	80772
CD44	1.74e-08	-0.2064175	47386
GLRX2	0.0008264952	-0.206782	15733
VPS4B	0.0004621035	-0.2068128	15673
MRPL12	1.43e-11	-0.2068222	39732
SNRPE	3.85e-37	-0.2072274	147608
RTN4	7e-25	-0.2073413	101908
NENF	7.44e-17	-0.2076134	49570
MRPL14	2.24e-15	-0.2076185	45469
TPR	1.45e-14	-0.2078713	51924
GATM	1.7e-05	-0.2081756	27042
SDF2	2.96e-05	-0.2082699	19265
RALA	1.12e-12	-0.2087653	43264
SPTBN1	6.88e-13	-0.2088125	45186
EIF3L	5.09e-10	-0.2109159	30526
NPC2	1.37e-16	-0.2117329	51169
TAF15	0.02204592	-0.2123499	12339
TRAM1	1.21e-09	-0.2131112	29719
EEF1AKMT1	6.3e-05	-0.2132957	17851
IGFBP7	2.85e-08	-0.2140339	145039
CYRIB	3.67e-09	-0.2141312	28267
ARPC5	6.62e-20	-0.214638	56140
PPP1R2	4.89e-09	-0.2152345	28424
ETS2	0.02204592	-0.2163149	12380
TMEM205	0.0001612016	-0.2163323	18383
2310009B15RIK	0.000714582	-0.216471	14889
RARS	5.65e-06	-0.2167633	20507
NDUFB2	5.93e-15	-0.2168583	38551
4930523C07RIK	0.003563024	-0.2169532	14632
C1D	3.32e-12	-0.2182343	31064
POLR2F	3.32e-38	-0.2182758	118968
NMT2	0.00021497892	-0.2186722	17814
ATP5K	2.04e-31	-0.2193641	105002
RAB1A	3.5e-14	-0.2198326	35520
RAB5C	0.00019067892	-0.2199267	14320
NPDC1	4.96e-07	-0.2201736	22015
METTL9	0.000276098	-0.2214572	15948
MAPK1	1.76e-07	-0.221477	22277
PRMT2	0.03420954	-0.2217358	10121
SLC25A39	5.54e-10	-0.2233415	26406
RPL37A	2.42e-94	-0.2238529	588089
PSMD5	0.04339802	-0.2242285	9542
COPS4	2.26e-05	-0.2244873	15898
PLGRKT	2.53e-05	-0.2246502	16964
DDX42	0.04506412	-0.2247494	9751
ACOT9	0.006396507	-0.2248018	11417
APPBP2	0.00343552	-0.2251928	12324
HSPD1	4.06e-21	-0.2260084	120029
DTYMK	1.89e-14	-0.2260139	47285
SCAND1	1.17e-10	-0.2260293	30595
EHD1	0.0018057224	-0.2264389	12763
UBXN4	1.39e-14	-0.2266696	36992
UTP3	5.53e-08	-0.2270411	23101
NFE2L1	5.89e-05	-0.2273314	15476
CHP1	0.00019978434	-0.2273542	14797
MAP1B	1.05e-08	-0.2277037	29935
GALK1	0.0001557985	-0.2281823	16557
YAF2	2.88e-06	-0.2286671	18387
EIF5B	4.8e-25	-0.2289	68232
CRIP1	1.18e-13	-0.2289878	687555
PRDX3	2.04e-06	-0.2294397	20042
HSPE1	1.08e-39	-0.2304894	259816
DNM1L	0.02897687	-0.2305654	9050
SLC9A3R1	5.63e-09	-0.2308125	25170
TTC3	0.0279312	-0.2308166	12122
ATG3	0.008286516	-0.2314516	10630
PRDX5	2.7e-19	-0.2318732	105995
SDE2	0.0001471095	-0.2319536	14992
SSBP1	2.27e-13	-0.2329654	33326
PDLIM7	0.00120096	-0.233037	13883
NT5C	6.33e-08	-0.2333525	21732
PIGP	0.00011652414	-0.2334003	14944
VAMP5	8.59e-17	-0.2337557	52903
SEC61G	2.72e-56	-0.2349033	226858
TNFAIP1	0.001465282	-0.2350845	11956
CYHR1	0.0002262312	-0.2362396	12908
SSNA1	2.56e-11	-0.2366652	26660
SDC4	5.84e-20	-0.2382878	83627
ARF5	2.56e-34	-0.2383147	79463
UBE2W	0.001403025	-0.2383692	11113
SELENOM	4.7e-10	-0.2384576	38382
HINT1	1.64e-72	-0.2388101	258476
NDFIP2	2.5e-09	-0.2389463	22991
G3BP1	2.07e-13	-0.2390353	34570
RAD50	0.03525537	-0.2391421	9619
NDFIP1	0.00017011742	-0.2395209	13685
MGST3	5.76e-27	-0.2397548	164983
PIGX	0.002281014	-0.2398498	10907
CYP20A1	4.56e-05	-0.2401875	13669
KRT20	4.14e-08	-0.2406829	35512
UQCR10	4.69e-36	-0.2407414	89011
HNRNPAB	3.98e-31	-0.2408772	84324
IER5	1.35e-07	-0.2422751	33721
ACTR3	1.45e-31	-0.2423366	71716
CLINT1	2.39e-07	-0.2424609	20046
SUPT6	0.005374412	-0.2432758	10284
VDAC2	1.15e-36	-0.2433579	92555
LITAF	5.48e-08	-0.2435217	20374
TRIB1	0.00064992	-0.2446849	25896
STX8	0.00013885326	-0.2447243	12179
COQ2	0.02666916	-0.2447318	8690
ANXA4	6.43e-33	-0.2451482	97500
PHB	1.76e-06	-0.2453378	16139
CHMP2B	3.77e-05	-0.2457038	15051
COX5B	4.99e-51	-0.2460464	152093
TSN	7.97e-17	-0.2463273	36013
GUK1	2.42e-10	-0.2464886	23565
RALB	0.0012871216	-0.2465501	10548
G3BP2	3.63e-14	-0.2466077	31291
PTTG1	0.0015122673	-0.2474849	11202
LRRFIP1	2.25e-12	-0.2478484	38866
RPL19	1.74e-146	-0.2485665	958610
MPDU1	0.002344917	-0.2487908	10165
EFEMP1	0.01693625	-0.2492172	10500
TOR1AIP1	0.0001937174	-0.2502341	12191
HMOX2	0.0006348138	-0.2503937	10653
MTAP	2.37e-09	-0.2510855	24492
MRPS14	2.42e-33	-0.251132	65267
UTP18	0.0004188872	-0.2514504	11738
SND1	1.91e-05	-0.2515	13301
RPL7	3.69e-74	-0.2520616	404237
LAMC2	0.010724463	-0.2521717	13249
LRRC59	2.18e-13	-0.2528562	31404
